rng,-14,-11,-8,-5,-2,1,3,6,8,11,12,15,16,19,22,24,25,26,27
0x96dfd107,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,111,111,
0xe1665234,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,
0xedd5085d,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,OUT,
0x412f15d2,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,
0x4c1e76a3,543,543,543,543,543,543,543,543,543,543,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xd6305da0,264,264,264,264,264,264,264,264,264,264,264,123,123,123,123,123,123,123,123,
0xf8decd59,456,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,
0x4544bd1e,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,111,111,
0x5317d9ff,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,
0xffcdb3cc,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,
0x7325e615,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,
0xdc7b8d2a,511,511,511,511,511,511,511,511,511,511,511,511,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x5e1a171b,266,266,266,266,266,266,266,266,266,266,266,266,266,123,123,123,123,123,123,
0xbe0840b8,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,
0x338bce91,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,OUT,
0x209d51f6,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,
0xac3909f7,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,
0x215cb064,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,
0x438dc2cd,361,361,361,361,361,361,361,361,361,361,361,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xac449782,464,464,464,464,464,464,464,464,464,464,464,464,123,123,123,123,123,123,123,
0x6fea4e93,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,
0x23666ed0,515,515,515,515,515,515,515,515,515,515,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xcd40bec9,321,321,321,321,321,321,321,321,321,321,321,123,123,123,123,123,123,123,123,
0xb728a9ce,456,662,662,662,662,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x36140ef,635,635,635,635,635,635,123,123,123,123,123,123,123,123,123,123,123,111,111,
0xfa0ba7fc,456,456,456,456,456,344,344,344,344,344,344,344,344,344,344,344,344,344,344,
0xed0d7e85,155,155,155,155,155,155,155,111,111,111,111,111,111,111,111,111,111,111,111,
0xab2994da,666,666,666,666,666,643,643,643,643,643,643,643,643,643,643,643,643,643,643,
0x6aafd0b,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,
0x716947e8,236,236,236,236,236,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xe32c7e01,445,445,445,445,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0xfe1c24a6,456,456,456,456,456,456,456,536,536,536,536,536,536,536,536,536,536,536,536,
0x438a5ee7,123,123,123,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0xf87efa94,222,222,222,222,222,222,222,222,123,123,123,123,123,123,123,123,123,123,123,
0xe0e1f93d,456,456,456,644,644,644,644,644,644,644,644,644,644,644,123,123,123,123,123,
0xdc55e532,615,615,615,615,615,615,615,615,615,615,615,111,111,111,111,111,111,111,111,
0xf3140283,222,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,
